,x,0
1,DevOps Automation for SQL Server,https://img.stackshare.io/service/11275/devopsdata.png
2,Azure DevOps,https://img.stackshare.io/service/4313/XNKktHjN_400x400.png
3,Azure DevOps Server,https://img.stackshare.io/service/4414/BpqlqOrE_400x400.jpg
4,Toad DevOps Toolkit,https://img.stackshare.io/service/12194/toadDev.png
5,ApexSQL DevOps toolkit,https://img.stackshare.io/service/12193/Wqt9ju1O_400x400.png
6,Compliant Database DevOps,https://img.stackshare.io/service/12192/compliant.png
7,GitHub,https://img.stackshare.io/service/27/sBsvBbjY.png
8,Git,https://img.stackshare.io/service/1046/git.png
9,Docker,https://img.stackshare.io/service/586/n4u37v9t_400x400.png
10,Visual Studio Code,https://img.stackshare.io/service/4202/Visual_Studio_Code_logo.png
11,npm,https://img.stackshare.io/service/1120/lejvzrnlpb308aftn31u.png
12,Jenkins,https://img.stackshare.io/service/670/jenkins.png
13,GitLab,https://img.stackshare.io/service/880/lmalkclL.png
14,Bitbucket,https://img.stackshare.io/service/28/35O2KIRX_400x400.jpg
15,Kubernetes,https://img.stackshare.io/service/1885/21_d3cvM.png
16,Sublime Text,https://img.stackshare.io/service/642/SublimeText_Master_012312_icon.png
17,Webpack,https://img.stackshare.io/service/1682/IMG_4636.PNG
18,Visual Studio,https://img.stackshare.io/service/1451/SR2hUhQN.png
19,IntelliJ IDEA,https://img.stackshare.io/service/1453/icon_IntelliJIDEA.png
20,VirtualBox,https://img.stackshare.io/service/774/vbox_94px.png
21,Modernizr,https://img.stackshare.io/service/2440/9TeXWBzR_400x400.jpg
22,Vim,https://img.stackshare.io/service/644/vim_logo.png
23,New Relic,https://img.stackshare.io/service/103/yEDRfH2o.jpeg
24,Android Studio,https://img.stackshare.io/service/1447/AyreX9yf.jpeg
25,Atom,https://img.stackshare.io/service/648/QbnVqgX4.png
26,PyCharm,https://img.stackshare.io/service/1644/logo.png
27,Ansible,https://img.stackshare.io/service/663/ElOjna20.png
28,Xcode,https://img.stackshare.io/service/1448/xcode.png
29,Docker Compose,https://img.stackshare.io/service/3136/docker-compose.png
30,Kibana,https://img.stackshare.io/service/1722/Image_2019-05-20_at_4.53.31_PM.png
31,Notepad++,https://img.stackshare.io/service/646/logo.png
32,gulp,https://img.stackshare.io/service/844/iruTC031.png
33,Babel,https://img.stackshare.io/service/2739/-1wfGjNw.png
34,Yarn,https://img.stackshare.io/service/5848/44mC-kJ3.jpg
35,Selenium,https://img.stackshare.io/service/1517/sbUizSli_400x400.jpg
36,PhpStorm,https://img.stackshare.io/service/1452/icon_PhpStorm.png
37,ESLint,https://img.stackshare.io/service/3337/Q4L7Jncy.jpg
38,Sentry,https://img.stackshare.io/service/191/lzoDXqf-.png
39,Varnish,https://img.stackshare.io/service/1073/mPwTb3BF.png
40,Vagrant,https://img.stackshare.io/service/768/150px-Vagrant.png
41,Travis CI,https://img.stackshare.io/service/460/Lu6cGu0z_400x400.png
42,WebStorm,https://img.stackshare.io/service/1455/icon_WebStorm.png
43,SourceTree,https://img.stackshare.io/service/1599/sourcetree.png
44,Grafana,https://img.stackshare.io/service/2645/rhtKuA9t.png
45,Terraform,https://img.stackshare.io/service/1276/terraform.png
46,CircleCI,https://img.stackshare.io/service/190/CvqrSSFs_400x400.jpg
47,Gradle,https://img.stackshare.io/service/975/gradlephant-social-black-bg.png
48,Logstash,https://img.stackshare.io/service/1683/preview.png
49,AWS Elastic Load Balancing (ELB),https://img.stackshare.io/service/2587/aws-elastic-load-balancing.png
50,Amazon CloudWatch,https://img.stackshare.io/service/401/amazon-cloudwatch.png
51,Grunt,https://img.stackshare.io/service/845/falgg2jybmhgk16y62lr.png
52,Bower,https://img.stackshare.io/service/847/66db62603f426a8fc6664081811be6d4.png
53,RequireJS,https://img.stackshare.io/service/852/1781835.png
54,Datadog,https://img.stackshare.io/service/669/5cX1R9Rr_400x400.jpg
55,Mocha,https://img.stackshare.io/service/832/mocha.png
56,Jest,https://img.stackshare.io/service/830/jest.png
57,BrowserStack,https://img.stackshare.io/service/182/0pyDMTyp.png
58,Pingdom,https://img.stackshare.io/service/106/usvDLKsY_400x400.png
59,HAProxy,https://img.stackshare.io/service/1179/preview.png
60,TrackJS,https://img.stackshare.io/service/1122/logo_icon_white_charcoal_onred_1000.png
61,Eclipse,https://img.stackshare.io/service/1446/8cyY6D_m.png
62,Prometheus,https://img.stackshare.io/service/2501/prometheus.png
63,Apache Maven,https://img.stackshare.io/service/977/maven.png
64,Yeoman,https://img.stackshare.io/service/853/46ea2dd8b1bdd31a8ba61044cb5b6ebe.png
65,Rollbar,https://img.stackshare.io/service/328/IWsbTBOs_400x400.jpg
66,GitLab CI,https://img.stackshare.io/service/5545/9pAwHBR0.jpg
67,AWS CloudFormation,https://img.stackshare.io/service/411/aws-cloudformation.png
68,Chef,https://img.stackshare.io/service/420/24f4ef5e7a67c0d720bf9ae69dd6de2a.png
69,Codeship,https://img.stackshare.io/service/224/avatar_codeship_colour.png
70,Jasmine,https://img.stackshare.io/service/831/7c0b595409af531b9cdeb07f8c513e8b.png
71,TestFlight,https://img.stackshare.io/service/95/oGea5QYO.png
72,Capistrano,https://img.stackshare.io/service/661/5da4e1d78e930197cb7dc002ceafdfda.png
73,Consul,https://img.stackshare.io/service/747/consul-logo-grad_teaser.png
74,Emacs,https://img.stackshare.io/service/645/emacs.gif
75,SonarQube,https://img.stackshare.io/service/2638/zIVhxKyn_400x400.png
76,TeamCity,https://img.stackshare.io/service/1357/317jQkeS.png
77,Rancher,https://img.stackshare.io/service/2552/rancher.png
78,Crashlytics,https://img.stackshare.io/service/264/Q3LJPRGx.png
79,Bugsnag,https://img.stackshare.io/service/150/square-logo-small-midnight.png
80,Nagios,https://img.stackshare.io/service/786/3gaoi2h254k0canb4hxj.png
81,Puppet Labs,https://img.stackshare.io/service/421/954f7381089ac290b4690c5ffd9dd7d3.png
82,PagerDuty,https://img.stackshare.io/service/107/GtwgsQj5_400x400.jpg
83,Docker Swarm,https://img.stackshare.io/service/3177/preview.png
84,GitKraken,https://img.stackshare.io/service/4614/XHJt0jRW.png
85,SVN (Subversion),https://img.stackshare.io/service/1045/svn.jpg
86,NetBeans IDE,https://img.stackshare.io/service/1449/DxAPXRVS.jpg
87,OpenStack,https://img.stackshare.io/service/770/GCPRyAva.png
88,Cloud9 IDE,https://img.stackshare.io/service/209/CvjNepWX.png
89,Red Hat Codeready Workspaces,https://img.stackshare.io/service/198/unnamed.jpg
90,Karma,https://img.stackshare.io/service/1420/TidYGd6a.png
91,Istio,https://img.stackshare.io/service/7028/AGpa5VZV.jpg
92,Zookeeper,https://img.stackshare.io/service/1528/apache-zookeeper.png
93,JUnit,https://img.stackshare.io/service/2020/874086.png
94,Papertrail,https://img.stackshare.io/service/82/papertrail-twitter-128.png
95,Traefik,https://img.stackshare.io/service/5126/soSblPVT_400x400.jpg
96,Helm,https://img.stackshare.io/service/5983/AHcBc6EG_400x400.jpg
97,Cucumber,https://img.stackshare.io/service/2544/jasVAxyJ.png
98,Browserify,https://img.stackshare.io/service/849/9esmqty2.png
99,Kong,https://ucarecdn.com/3cf09daa-4e1e-404e-a612-f8a91c661db2/
100,RubyMine,https://img.stackshare.io/service/1454/icon_RubyMine.png
101,Code Climate,https://img.stackshare.io/service/305/KFgYaUkK.png
102,Spring Cloud,https://img.stackshare.io/service/5494/992d3596458fca87741b8e93e7df0860_normal.png
103,GitHub Enterprise,https://img.stackshare.io/service/2900/pBeeJQDQ.png
104,Brackets,https://img.stackshare.io/service/2226/brackets_512_400x400.png
105,Docker Machine,https://img.stackshare.io/service/3137/fbbb494a7eef5f9278c6967b6072ca3e.png
106,Packer,https://img.stackshare.io/service/967/packer.png
107,Zabbix,https://img.stackshare.io/service/1705/MlkWTc_x.png
108,ELK,https://img.stackshare.io/service/1883/EmPbn9P0_400x400.png
109,Vault,https://img.stackshare.io/service/2905/vault.png
110,Graylog,https://img.stackshare.io/service/4392/_HU28D42.png
111,VMware vSphere,https://img.stackshare.io/service/775/c193cd4e31d488620bdd7349ea4836cc.png
112,PhantomJS,https://img.stackshare.io/service/1832/phantomjs.png
113,Bamboo,https://img.stackshare.io/service/1729/omsJmyCc.png
114,Fabric,https://img.stackshare.io/service/662/79c2d43ca09b8321909833f37a500799.png
115,Salt,https://img.stackshare.io/service/664/-lag2uPT.png
116,Enzyme,https://img.stackshare.io/service/4488/enzyme.png
117,AWS CodePipeline,https://img.stackshare.io/service/3297/aws-codepipeline.png
118,Fluentd,https://img.stackshare.io/service/4365/859518.png
